Year;Month;Antal
2019;1;1163000
2019;2;1191000
2019;3;1402000
2019;4;1500000
2019;5;1608000
2019;6;1816000
2019;7;1895000
2019;8;1695000
2019;9;1724000
2019;10;1651000
2019;11;1276000
2019;12;1276000
2020;1;1161000
2020;2;1188000
2020;3;469000
2020;4;16000
2020;5;28000
2020;6;105000
2020;7;376000
2020;8;379000
2020;9;321000
2020;10;256000
2020;11;125000
2020;12;176000
2021;1;106000
2021;2;73000
2021;3;105000
2021;4;117000
2021;5;175000
2021;6;365000
2021;7;837000
2021;8;756000
2021;9;849000
2021;10;992000
2021;11;813000
2021;12;715000
2022;1;483000
2022;2;641000
2022;3;885000
2022;4;1148000
2022;5;1326000
2022;6;1494000
2022;7;1590000
2022;8;1408000
2022;9;1471000
2022;10;1423000
2022;11;1052000
2022;12;1061000